#,Kanji,Radical,# Strokes,Grade,Meaning,Readings
1017,剰 ,刀 ,11,S ,surplus ,ジョウ
1021,畳 ,田 ,12,S ,tatami mat ,ジョウ、たた-む、たたみ
1023,縄 ,糸 ,15,S ,straw rope ,ジョウ、なわ
1024,壌 ,土 ,16,S ,lot ,ジョウ
1025,嬢 ,女 ,16,S ,lass ,ジョウ
1026,錠 ,金 ,16,S ,lock ,ジョウ
1027,譲 ,言 ,20,S ,defer ,ジョウ、ゆず-る
1028,醸 ,酉 ,20,S ,brew ,ジョウ、かも-す
1030,拭 ,手 ,9,S ,wipe ,ショク、ふ-く、ぬぐ-う
1033,殖 ,歹 ,12,S ,augment ,ショク、ふ-える、ふ-やす
1034,飾 ,食 ,13,S ,decorate ,ショク、かざ-る
1035,触 ,角 ,13,S ,contact ,ショク、ふ-れる、さわ-る
1036,嘱 ,口 ,15,S ,entrust ,ショク
1039,辱 ,辰 ,10,S ,embarrass ,ジョク、はずかし-める
1040,尻 ,尸 ,5,S ,buttocks ,しり
1043,伸 ,人 ,7,S ,lengthen ,シン、の-びる、の-ばす、の-べる
1045,芯 ,艸 ,7,S ,core ,シン
1047,辛 ,辛 ,7,S ,spicy ,シン、から-い
1048,侵 ,人 ,9,S ,encroach ,シン、おか-す
1050,津 ,水 ,9,S ,haven ,シン、つ
1052,唇 ,口 ,10,S ,lips ,シン、くちびる
1053,娠 ,女 ,10,S ,with child ,シン
1054,振 ,手 ,10,S ,shake ,シン、ふ-る、ふ-るう、ふ-れる
1055,浸 ,水 ,10,S ,immersed ,シン、ひた-す、ひた-る
1059,紳 ,糸 ,11,S ,sire ,シン
1062,診 ,言 ,12,S ,checkup ,シン、み-る
1063,寝 ,宀 ,13,S ,lie down ,シン、ね-る、ね-かす
1064,慎 ,心 ,13,S ,humility ,シン、つつし-む
1066,審 ,宀 ,15,S ,examine ,シン
1067,震 ,雨 ,15,S ,quake ,シン、ふる-う、ふる-える
1068,薪 ,艸 ,16,S ,fuel ,シン、たきぎ
1071,刃 ,刀 ,3,S ,blade ,ジン、は
1073,尽 ,皿 ,6,S ,exhaust ,ジン、つ-くす、つ-きる、つ-かす
1074,迅 ,辵 ,6,S ,swift ,ジン
1075,甚 ,甘 ,9,S ,tremendously ,ジン、はなは-だ、はなは-だしい
1076,陣 ,阜 ,10,S ,camp ,ジン
1077,尋 ,寸 ,12,S ,inquire ,ジン、たず-ねる
1078,腎 ,肉 ,13,S ,kidney ,ジン
1079,須 ,頁 ,12,S ,by all means ,ス
1082,吹 ,口 ,7,S ,blow ,スイ、ふ-く
1084,炊 ,火 ,8,S ,cook ,スイ、た-く
1085,帥 ,巾 ,9,S ,commander ,スイ
1086,粋 ,米 ,10,S ,chic ,スイ、いき
1087,衰 ,衣 ,10,S ,decline ,スイ、おとろ-える
1089,酔 ,酉 ,11,S ,drunk ,スイ、よ-う
1090,遂 ,辵 ,12,S ,consummate ,スイ、と-げる
1091,睡 ,目 ,13,S ,drowsy ,スイ
1092,穂 ,禾 ,15,S ,ear ,スイ、ほ
1093,随 ,阜 ,12,S ,follow ,ズイ
1094,髄 ,骨 ,19,S ,marrow ,ズイ
1095,枢 ,木 ,8,S ,hinge ,スウ
1096,崇 ,山 ,11,S ,adore ,スウ
1098,据 ,手 ,11,S ,set ,す-える、す-わる
1099,杉 ,木 ,7,S ,cedar ,すぎ
1100,裾 ,衣 ,13,S ,cuff ,すそ
1102,瀬 ,水 ,19,S ,rapids ,せ
1103,是 ,日 ,9,S ,just so ,ゼ
1104,井 ,二 ,4,S ,well ,セイ、（ショウ）、い
1112,姓 ,女 ,8,S ,surname ,セイ、ショウ
1113,征 ,彳 ,8,S ,subjugate ,セイ
1116,斉 ,齊 ,8,S ,adjusted ,セイ
1119,牲 ,牛 ,9,S ,animal sacrifice ,セイ
1121,凄 ,冫 ,10,S ,uncanny ,セイ
1122,逝 ,辵 ,10,S ,departed ,セイ、ゆ-く、い-く
1125,婿 ,女 ,12,S ,bridegroom ,セイ、むこ
1132,誓 ,言 ,14,S ,vow ,セイ、ちか-う
1134,請 ,言 ,15,S ,solicit ,セイ、（シン）、こ-う、う-ける
1136,醒 ,酉 ,16,S ,be disillusioned ,セイ
1139,斥 ,斤 ,5,S ,reject ,セキ
1143,析 ,木 ,8,S ,chop ,セキ
1145,脊 ,肉 ,10,S ,stature ,セキ
1146,隻 ,隹 ,10,S ,vessels ,セキ
1147,惜 ,心 ,11,S ,pity ,セキ、お-しい、お-しむ
1148,戚 ,戈 ,11,S ,grieve ,セキ
1150,跡 ,足 ,13,S ,tracks ,セキ、あと
1153,籍 ,竹 ,20,S ,enroll ,セキ
1156,拙 ,手 ,8,S ,bungling ,セツ、つたな-い
1157,窃 ,穴 ,9,S ,stealth ,セツ
1161,摂 ,手 ,13,S ,vicarious ,セツ
1168,仙 ,人 ,5,S ,hermit ,セン
1169,占 ,卜 ,5,S ,fortune telling ,セン、し-める、うらな-う
1177,扇 ,戶 ,10,S ,fan ,セン、おうぎ
1178,栓 ,木 ,10,S ,plug ,セン
1179,旋 ,方 ,11,S ,rotation ,セン
1182,煎 [7] ,火 ,13,S ,broil ,セン、い-る
1183,羨 ,羊 ,13,S ,envy ,セン、うらや-む、うらや-ましい
1184,腺 ,肉 ,13,S ,gland ,セン
1185,詮 [7] ,言 ,13,S ,discussion ,セン
1186,践 ,足 ,13,S ,tread ,セン
1187,箋 ,竹 ,14,S ,paper ,セン
1189,潜 ,水 ,15,S ,submerge ,セン、ひそ-む、もぐ-る
1191,遷 ,辵 ,15,S ,transition ,セン
1193,薦 ,艸 ,16,S ,recommend ,セン、すす-める
1194,繊 ,糸 ,17,S ,slender ,セン
1195,鮮 ,魚 ,17,S ,fresh ,セン、あざ-やか
1200,禅 ,示 ,13,S ,Zen ,ゼン
1201,漸 ,水 ,14,S ,steadily ,ゼン
1202,膳 ,肉 ,16,S ,tray ,ゼン
1203,繕 ,糸 ,18,S ,darning ,ゼン、つくろ-う
1204,狙 ,犬 ,8,S ,aim at ,ソ、ねら-う
1205,阻 ,阜 ,8,S ,thwart ,ソ、はば-む
1207,租 ,禾 ,10,S ,tariff ,ソ
1209,措 ,手 ,11,S ,set aside ,ソ
1210,粗 ,米 ,11,S ,coarse ,ソ、あら-い
1212,疎 ,疋 ,12,S ,alienate ,ソ、うと-い、うと-む
1213,訴 ,言 ,12,S ,sue ,ソ、うった-える
1214,塑 ,土 ,13,S ,model ,ソ
1215,遡 [8] ,辵 ,14,S ,go upstream ,ソ、さかのぼ-る
1216,礎 ,石 ,18,S ,cornerstone ,ソ、いしずえ
1217,双 ,隹 ,4,S ,pair ,ソウ、ふた
1218,壮 ,士 ,6,S ,robust ,ソウ
1224,荘 ,艸 ,9,S ,villa ,ソウ
1228,捜 ,手 ,10,S ,search ,ソウ、さが-す
1229,挿 ,手 ,10,S ,insert ,ソウ、さ-す
1230,桑 ,木 ,10,S ,mulberry ,ソウ、くわ
1232,掃 ,手 ,11,S ,sweep ,ソウ、は-く
1233,曹 ,曰 ,11,S ,cadet ,ソウ
1234,曽 ,曰 ,11,S ,formerly ,ソウ、（ゾ）
1235,爽 ,爻 ,11,S ,refreshing ,ソウ、さわ-やか
1238,喪 ,口 ,12,S ,miss ,ソウ、も
1239,痩 ,疒 ,12,S ,get thin ,ソウ、や-せる
1240,葬 ,艸 ,12,S ,interment ,ソウ、ほうむ-る
1242,僧 ,人 ,13,S ,Buddhist priest ,ソウ
1246,遭 ,辵 ,14,S ,encounter ,ソウ、あ-う
1247,槽 ,木 ,15,S ,vat ,ソウ
1248,踪 ,足 ,15,S ,remains ,ソウ
1250,燥 ,火 ,17,S ,parch ,ソウ
1251,霜 ,雨 ,17,S ,frost ,ソウ、しも
1252,騒 ,馬 ,18,S ,boisterous ,ソウ、さわ-ぐ
1253,藻 ,艸 ,19,S ,seaweed ,ソウ、も
1257,憎 ,心 ,14,S ,hate ,ゾウ、にく-む、にく-い、にく-らしい、にく-しみ
1259,贈 ,貝 ,18,S ,presents ,ゾウ、（ソウ）、おく-る
1261,即 ,卩 ,7,S ,instant ,ソク
1264,促 ,人 ,9,S ,stimulate ,ソク、うなが-す
1267,捉 ,手 ,10,S ,capture ,ソク、とら-える
1271,俗 ,人 ,9,S ,vulgar ,ゾク
1274,賊 ,貝 ,13,S ,burglar ,ゾク
1283,遜 [8] ,辵 ,14,S ,humble ,ソン
1286,汰 ,水 ,7,S ,luxury ,タ
1288,妥 ,女 ,7,S ,gentle ,ダ
1289,唾 ,口 ,11,S ,saliva ,ダ、つば
1290,堕 ,土 ,12,S ,degenerate ,ダ
1291,惰 ,心 ,12,S ,lazy ,ダ
1292,駄 ,馬 ,14,S ,burdensome ,ダ
1296,耐 ,而 ,9,S ,resistant ,タイ、た-える
1298,怠 ,心 ,9,S ,neglect ,タイ、おこた-る、なま-ける
1299,胎 ,肉 ,9,S ,womb ,タイ
1302,泰 ,水 ,10,S ,peaceful ,タイ
1303,堆 ,土 ,11,S ,piled high ,タイ
1304,袋 ,衣 ,11,S ,sack ,タイ、ふくろ
1305,逮 ,辵 ,11,S ,apprehend ,タイ
1306,替 ,曰 ,12,S ,exchange ,タイ、か-える、か-わる
1309,滞 ,水 ,13,S ,stagnate ,タイ、とどこお-る
1311,戴 ,戈 ,17,S ,be crowned with ,タイ
1317,滝 ,水 ,13,S ,waterfall ,たき
1319,択 ,手 ,7,S ,choose ,タク
1320,沢 ,水 ,7,S ,swamp ,タク、さわ
1321,卓 ,十 ,8,S ,eminent ,タク
1322,拓 ,手 ,8,S ,clear (the land) ,タク
1323,託 ,言 ,10,S ,consign ,タク
1324,濯 ,水 ,17,S ,laundry ,タク
1325,諾 ,言 ,15,S ,consent ,ダク
1326,濁 ,水 ,16,S ,voiced ,ダク、にご-る、にご-す
1327,但 ,人 ,7,S ,however ,ただ-し
1329,脱 ,肉 ,11,S ,undress ,ダツ、ぬ-ぐ、ぬ-げる
1330,奪 ,大 ,14,S ,rob ,ダツ、うば-う
1331,棚 ,木 ,12,S ,shelf ,たな
1332,誰 ,言 ,15,S ,who (question word) ,だれ
1333,丹 ,丶 ,4,S ,cinnabar ,タン
1334,旦 ,日 ,5,S ,daybreak ,タン、ダン
1338,胆 ,肉 ,9,S ,gall bladder ,タン
1340,淡 ,水 ,11,S ,thin ,タン、あわ-い
1342,嘆 ,口 ,13,S ,sigh ,タン、なげ-く、なげ-かわしい
1343,端 ,立 ,14,S ,edge ,タン、はし、は、はた
1344,綻 ,糸 ,14,S ,rip ,タン、ほころ-びる
1346,鍛 ,金 ,17,S ,forge ,タン、きた-える
1351,弾 ,弓 ,12,S ,bullet ,ダン、ひ-く、はず-む、たま
1354,壇 ,土 ,16,S ,podium ,ダン、（タン）
1359,恥 ,心 ,10,S ,shame ,チ、は-じる、はじ、は-じらう、は-ずかしい
1360,致 ,至 ,10,S ,(to) do ,チ、いた-す
1361,遅 ,辵 ,12,S ,slow ,チ、おく-れる、おく-らす、おそ-い
1362,痴 ,疒 ,13,S ,stupid ,チ
1363,稚 ,禾 ,13,S ,immature ,チ
1365,緻 ,糸 ,16,S ,fine (not coarse) ,チ
1367,畜 ,田 ,10,S ,livestock ,チク
1368,逐 ,辵 ,10,S ,pursue ,チク
1369,蓄 ,艸 ,13,S ,amass ,チク、たくわ-える
1371,秩 ,禾 ,10,S ,regularity ,チツ
1372,窒 ,穴 ,11,S ,plug up ,チツ
1375,嫡 ,女 ,14,S ,legitimate wife ,チャク
1379,沖 ,水 ,7,S ,open sea ,チュウ、おき
1382,抽 ,手 ,8,S ,pluck ,チュウ
1386,衷 ,衣 ,10,S ,inmost ,チュウ
1387,酎 ,酉 ,10,S ,sake ,チュウ
1388,鋳 ,金 ,15,S ,casting ,チュウ、い-る
1389,駐 ,馬 ,15,S ,stop-over ,チュウ
1393,弔 ,弓 ,4,S ,condolences ,チョウ、とむら-う
1398,挑 ,手 ,9,S ,challenge ,チョウ、いど-む
1401,彫 ,彡 ,11,S ,carve ,チョウ、ほ-る
1402,眺 ,目 ,11,S ,stare ,チョウ、なが-める
1403,釣 ,金 ,11,S ,angling ,チョウ、つ-る
1407,貼 ,貝 ,12,S ,paste ,チョウ、は-る
1408,超 ,走 ,12,S ,transcend ,チョウ、こ-える、こ-す
1410,跳 ,足 ,13,S ,hop ,チョウ、は-ねる、と-ぶ
1411,徴 ,彳 ,14,S ,indications ,チョウ
1412,嘲 [7] ,口 ,15,S ,ridicule ,チョウ、あざけ-る
1414,澄 ,水 ,15,S ,lucidity ,チョウ、す-む、す-ます
1416,聴 ,耳 ,17,S ,listen ,チョウ、き-く
1417,懲 ,心 ,18,S ,penal ,チョウ、こ-りる、こ-らす、こ-らしめる
1419,勅 ,力 ,9,S ,imperial order ,チョク
1420,捗 [7] ,手 ,10,S ,make progress ,チョク
1421,沈 ,水 ,7,S ,sink ,チン、しず-む、しず-める
1422,珍 ,玉 ,9,S ,rare ,チン、めずら-しい
1423,朕 ,月 ,10,S ,majestic plural ,チン
1424,陳 ,阜 ,11,S ,exhibit ,チン
1426,鎮 ,金 ,18,S ,tranquilize ,チン、しず-める、しず-まる
1428,椎 ,木 ,12,S ,oak ,ツイ
1429,墜 ,土 ,15,S ,crash ,ツイ
1432,塚 ,土 ,12,S ,hillock ,つか
1433,漬 ,水 ,14,S ,pickling ,つ-ける、つ-かる
1434,坪 ,土 ,8,S ,two-mat area ,つぼ
1435,爪 ,爪 ,4,S ,claw ,つめ、（つま）
1436,鶴 ,鳥 ,21,S ,crane ,つる
1438,呈 ,口 ,7,S ,display ,テイ
1439,廷 ,廴 ,7,S ,courts ,テイ
1443,抵 ,手 ,8,S ,resist ,テイ
1444,邸 ,邑 ,8,S ,residence ,テイ
1445,亭 ,亠 ,9,S ,pavilion ,テイ
1446,貞 ,貝 ,9,S ,upright ,テイ
1447,帝 ,巾 ,9,S ,sovereign ,テイ
1448,訂 ,言 ,9,S ,revise ,テイ
1450,逓 ,辵 ,10,S ,relay ,テイ
1452,偵 ,人 ,11,S ,spy ,テイ
1453,堤 ,土 ,12,S ,dike ,テイ、つつみ
1456,艇 ,舟 ,13,S ,rowboat ,テイ
1457,締 ,糸 ,15,S ,tighten ,テイ、し-まる、し-める
1458,諦 ,言 ,16,S ,abandon ,テイ、あきら-める
1459,泥 ,水 ,8,S ,mud ,デイ、どろ
1462,摘 ,手 ,14,S ,pinch ,テキ、つ-む
1463,滴 ,水 ,14,S ,drip ,テキ、しずく、したた-る
1466,溺 [7] ,水 ,13,S ,drown ,デキ、おぼ-れる
1467,迭 ,辵 ,8,S ,transfer ,テツ
1468,哲 ,口 ,10,S ,philosophy ,テツ
1470,徹 ,彳 ,15,S ,penetrate ,テツ
1471,撤 ,手 ,15,S ,remove ,テツ
1477,添 ,水 ,11,S ,annexed ,テン、そ-える、そ-う
1479,塡 [7] ,土 ,13,S ,fill in ,テン
1482,殿 ,殳 ,13,S ,Mr. ,デン、テン、との、どの
1484,斗 ,斗 ,4,S ,Big Dipper ,ト
1485,吐 ,口 ,6,S ,spit ,ト、は-く
1486,妬 ,女 ,8,S ,jealousy ,ト、ねた-む
1488,途 ,辵 ,10,S ,route ,ト
1490,渡 ,水 ,12,S ,transit ,ト、わた-る、わた-す
1491,塗 ,土 ,13,S ,paint ,ト、ぬ-る
1492,賭 [7] ,貝 ,16,S ,gamble ,ト、か-ける
1494,奴 ,女 ,5,S ,guy ,ド
1497,怒 ,心 ,9,S ,angry ,ド、いか-る、おこ-る
1505,到 ,刀 ,8,S ,arrival ,トウ
1506,逃 ,辵 ,9,S ,escape ,トウ、に-げる、に-がす、のが-す、のが-れる
1507,倒 ,人 ,10,S ,overthrow ,トウ、たお-れる、たお-す
1508,凍 ,冫 ,10,S ,frozen ,トウ、こお-る、こご-える
1509,唐 ,口 ,10,S ,T'ang ,トウ、から
1511,桃 ,木 ,10,S ,peach tree ,トウ、もも
1513,透 ,辵 ,10,S ,transparent ,トウ、す-く、す-かす、す-ける
1515,悼 ,心 ,11,S ,lament ,トウ、いた-む
1516,盗 ,皿 ,11,S ,steal ,トウ、ぬす-む
1517,陶 ,阜 ,11,S ,pottery ,トウ
1518,塔 ,土 ,12,S ,pagoda ,トウ
1519,搭 ,手 ,12,S ,board ,トウ
1520,棟 ,木 ,12,S ,ridgepole ,トウ、むね、（むな）
1522,痘 ,疒 ,12,S ,pox ,トウ
1526,筒 ,竹 ,12,S ,cylinder ,トウ、つつ
1528,稲 ,禾 ,14,S ,rice plant ,トウ、いね、（いな）
1529,踏 ,足 ,15,S ,step ,トウ、ふ-む、ふ-まえる
1532,謄 ,言 ,17,S ,mimeograph ,トウ
1533,藤 ,艸 ,18,S ,wisteria ,トウ、ふじ
1534,闘 ,鬥 ,18,S ,fight ,トウ、たたか-う
1535,騰 ,馬 ,20,S ,inflation ,トウ
1537,洞 ,水 ,9,S ,den ,ドウ、ほら
1538,胴 ,肉 ,10,S ,trunk ,ドウ
1546,瞳 ,目 ,17,S ,pupil ,ドウ、ひとみ
1547,峠 ,山 ,9,S ,mountain peak ,とうげ
1548,匿 ,匸 ,10,S ,hide ,トク
1551,督 ,目 ,13,S ,coach ,トク
1553,篤 ,竹 ,16,S ,fervent ,トク
1557,栃 [5] ,木 ,9,S ,horse chestnut ,（とち）[6]
1558,凸 ,凵 ,5,S ,convex ,トツ
1559,突 ,穴 ,8,S ,stab ,トツ、つ-く
1561,屯 ,屮 ,4,S ,barracks ,トン
1562,豚 ,豕 ,11,S ,pork ,トン、ぶた
1563,頓 ,頁 ,13,S ,suddenly ,トン
1564,貪 ,貝 ,11,S ,covet ,ドン、むさぼ-る
1565,鈍 ,金 ,12,S ,dull ,ドン、にぶ-い、にぶ-る
1566,曇 ,日 ,16,S ,cloudy weather ,ドン、くも-る
1567,丼 ,丶 ,5,S ,bowl of food ,どんぶり、（どん）
1568,那 ,邑 ,7,S ,what ,ナ
1569,奈 ,大 ,8,S ,what ,ナ
1571,梨 ,木 ,11,S ,pear tree ,なし
1572,謎 [8] ,言 ,17,S ,riddle ,なぞ
1573,鍋 ,金 ,17,S ,pot ,なべ
1575,軟 ,車 ,11,S ,soft ,ナン、やわ-らか、やわ-らかい
1578,尼 ,尸 ,5,S ,nun ,ニ、あま
1579,弐 ,貝 ,6,S ,two (falsification prevention) ,ニ
1580,匂 ,勹 ,4,S ,scent ,にお-う
1582,虹 ,虫 ,9,S ,rainbow ,にじ
1586,尿 ,尸 ,7,S ,urine ,ニョウ
1588,妊 ,女 ,7,S ,pregnancy ,ニン
1589,忍 ,心 ,7,S ,endure ,ニン、しの-ぶ、しの-ばせる
1591,寧 ,宀 ,14,S ,rather ,ネイ
1595,捻 ,手 ,11,S ,twist ,ネン、ひね-る
1596,粘 ,米 ,11,S ,sticky ,ネン、ねば-る
1598,悩 ,心 ,10,S ,trouble ,ノウ、なや-む、なや-ます
1603,濃 ,水 ,16,S ,concentrated ,ノウ、こ-い
1604,把 ,手 ,7,S ,grasp ,ハ
1608,覇 ,雨 ,19,S ,hegemony ,ハ
1610,婆 ,女 ,11,S ,old woman ,バ
1611,罵 ,网 ,15,S ,insult ,バ、ののし-る
1613,杯 ,木 ,8,S ,counter for cupfuls ,ハイ、さかずき
1618,排 ,手 ,11,S ,repudiate ,ハイ
1620,廃 ,广 ,12,S ,abolish ,ハイ、すた-れる、すた-る
1621,輩 ,車 ,15,S ,comrade ,ハイ
1625,培 ,土 ,11,S ,cultivate ,バイ、つちか-う
1626,陪 ,阜 ,11,S ,obeisance ,バイ
1627,媒 ,女 ,12,S ,mediator ,バイ
1629,賠 ,貝 ,15,S ,compensation ,バイ
1631,伯 ,人 ,7,S ,chief ,ハク
1632,拍 ,手 ,8,S ,clap ,ハク、（ヒョウ）
1633,泊 ,水 ,8,S ,overnight ,ハク、と-まる、と-める
1634,迫 ,辵 ,8,S ,urge ,ハク、せま-る
1635,剝 [7] ,刀 ,10,S ,peel ,ハク、は-がす、は-ぐ、は-がれる、は-げる
1636,舶 ,舟 ,11,S ,liner ,ハク
1638,薄 ,艸 ,16,S ,dilute ,ハク、うす-い、うす-める、うす-まる、うす-らぐ、うす-れる
1640,漠 ,水 ,13,S ,vague ,バク
1641,縛 ,糸 ,16,S ,truss ,バク、しば-る
1642,爆 ,火 ,19,S ,explode ,バク
1644,箸 [7] ,竹 ,15,S ,chopsticks ,はし
1646,肌 ,肉 ,6,S ,texture ,はだ
1648,鉢 ,金 ,13,S ,bowl ,ハチ、（ハツ）
1650,髪 ,髟 ,14,S ,hair of the head ,ハツ、かみ
1651,伐 ,人 ,6,S ,fell ,バツ
1652,抜 ,手 ,7,S ,slip out ,バツ、ぬ-く、ぬ-ける、ぬ-かす、ぬ-かる
1653,罰 ,网 ,14,S ,penalty ,バツ、バチ
1654,閥 ,門 ,14,S ,clique ,バツ
1657,氾 ,水 ,5,S ,spread out ,ハン
1659,帆 ,巾 ,6,S ,sail ,ハン、ほ
1660,汎 ,水 ,6,S ,pan- ,ハン
1661,伴 ,人 ,7,S ,consort ,ハン、バン、ともな-う
1664,阪 ,阜 ,7,S ,heights ,ハン
1668,畔 ,田 ,10,S ,paddy-ridge ,ハン
1669,般 ,舟 ,10,S ,generally ,ハン
1670,販 ,貝 ,11,S ,marketing ,ハン
1671,斑 ,文 ,12,S ,blemish ,ハン
1673,搬 ,手 ,13,S ,conveyor ,ハン
1674,煩 ,火 ,13,S ,anxiety ,ハン、（ボン）、わずら-う、わずら-わす
1675,頒 ,頁 ,13,S ,partition ,ハン
1676,範 ,竹 ,15,S ,pattern ,ハン
1677,繁 ,糸 ,16,S ,luxuriant ,ハン
1678,藩 ,艸 ,18,S ,clan ,ハン
1681,蛮 ,虫 ,12,S ,barbarian ,バン
1682,盤 ,皿 ,15,S ,tray ,バン
1685,妃 ,女 ,6,S ,queen ,ヒ
1688,彼 ,彳 ,8,S ,he ,ヒ、かれ、（かの）
1689,披 ,手 ,8,S ,expose ,ヒ
1692,卑 ,十 ,9,S ,lowly ,ヒ、いや-しい、いや-しむ、いや-しめる
1694,疲 ,疒 ,10,S ,exhausted ,ヒ、つか-れる
1696,被 ,衣 ,10,S ,incur ,ヒ、こうむ-る
1698,扉 ,戶 ,12,S ,front door ,ヒ、とびら
1700,碑 ,石 ,14,S ,tombstone ,ヒ
1701,罷 ,网 ,15,S ,quit ,ヒ
1702,避 ,辵 ,16,S ,evade ,ヒ、さ-ける
1703,尾 ,尸 ,7,S ,tail ,ビ、お
1704,眉 ,目 ,9,S ,eyebrow ,ビ、（ミ）、まゆ
1707,微 ,彳 ,13,S ,delicate ,ビ
1709,膝 ,肉 ,15,S ,knee ,ひざ
1710,肘 ,肉 ,7,S ,elbow ,ひじ
1711,匹 ,匸 ,4,S ,equal ,ヒツ、ひき
1713,泌 ,水 ,8,S ,ooze ,ヒツ、ヒ
1715,姫 ,女 ,10,S ,princess ,ひめ
1722,漂 ,水 ,14,S ,drift ,ヒョウ、ただよ-う
1724,苗 ,艸 ,8,S ,seedling ,ビョウ、なえ、（なわ）
1727,描 ,手 ,11,S ,sketch ,ビョウ、えが-く、か-く
1728,猫 ,犬 ,11,S ,cat ,ビョウ、ねこ
1730,浜 ,水 ,10,S ,seacoast ,ヒン、はま
1732,賓 ,貝 ,15,S ,V.I.P. ,ヒン
1733,頻 ,頁 ,17,S ,repeatedly ,ヒン
1734,敏 ,攴 ,10,S ,cleverness ,ビン
1735,瓶 ,瓦 ,11,S ,flower pot ,ビン
1741,扶 ,手 ,7,S ,aid ,フ
1743,怖 ,心 ,8,S ,dreadful ,フ、こわ-い
1744,阜 ,阜 ,8,S ,mound ,（フ）[6]
1745,附 ,阜 ,8,S ,affixed ,フ
1746,訃 ,言 ,9,S ,obituary ,フ
1748,赴 ,走 ,9,S ,proceed ,フ、おもむ-く
1749,浮 ,水 ,10,S ,floating ,フ、う-く、う-かれる、う-かぶ、う-かべる
1751,符 ,竹 ,11,S ,token ,フ
1753,普 ,日 ,12,S ,universal ,フ
1754,腐 ,肉 ,14,S ,rot ,フ、くさ-る、くさ-れる、くさ-らす
1755,敷 ,攴 ,15,S ,spread ,フ、し-く
1756,膚 ,肉 ,15,S ,skin ,フ
1757,賦 ,貝 ,15,S ,levy ,フ
1758,譜 ,言 ,19,S ,musical score ,フ
1759,侮 ,人 ,8,S ,scorn ,ブ、あなど-る
1762,舞 ,舛 ,15,S ,dance ,ブ、ま-う、まい
1763,封 ,寸 ,9,S ,seal ,フウ、ホウ
1765,伏 ,人 ,6,S ,prostrated ,フク、ふ-せる、ふ-す
1768,幅 ,巾 ,12,S ,breadth ,フク、はば
1773,覆 ,襾 ,18,S ,capsize ,フク、おお-う、くつがえ-す、くつがえ-る
1774,払 ,手 ,5,S ,pay ,フツ、はら-う
1775,沸 ,水 ,8,S ,seethe ,フツ、わ-く、わ-かす
1779,紛 ,糸 ,10,S ,distract ,フン、まぎ-れる、まぎ-らす、まぎ-らわす、まぎ-らわしい
1780,雰 ,雨 ,12,S ,atmosphere ,フン
1781,噴 ,口 ,15,S ,erupt ,フン、ふ-く
1782,墳 ,土 ,15,S ,tomb ,フン
1783,憤 ,心 ,15,S ,aroused ,フン、いきどお-る
1788,丙 ,一 ,5,S ,third class ,ヘイ
1791,併 ,人 ,8,S ,join ,ヘイ、あわ-せる
1793,柄 ,木 ,9,S ,design ,ヘイ、がら、え
1796,塀 ,土 ,12,S ,fence ,ヘイ
1797,幣 ,巾 ,15,S ,cash ,ヘイ
1798,弊 ,廾 ,15,S ,abuse ,ヘイ
1799,蔽 [7] ,艸 ,15,S ,cover ,ヘイ
1800,餅 [8] ,食 ,15,S ,mochi rice cake ,ヘイ、もち
1802,壁 ,土 ,16,S ,wall ,ヘキ、かべ
1803,璧 ,玉 ,18,S ,sphere ,ヘキ
1804,癖 ,疒 ,18,S ,mannerism ,ヘキ、くせ
1806,蔑 ,艸 ,14,S ,ignore ,ベツ、さげす-む
1811,偏 ,人 ,11,S ,partial ,ヘン、かたよ-る
1812,遍 ,辵 ,12,S ,everywhere ,ヘン
1819,哺 ,口 ,10,S ,suckle ,ホ
1820,捕 ,手 ,10,S ,catch ,ホ、と-らえる、と-らわれる、と-る、つか-まえる、つか-まる
1822,舗 ,舌 ,15,S ,pavement ,ホ
1824,募 ,力 ,12,S ,recruit ,ボ、つの-る
1826,慕 ,心 ,14,S ,pining ,ボ、した-う
1828,簿 ,竹 ,19,S ,register ,ボ
1831,芳 ,艸 ,7,S ,perfume ,ホウ、かんば-しい
1832,邦 ,邑 ,7,S ,home country ,ホウ
1833,奉 ,大 ,8,S ,observance ,ホウ、（ブ）、たてまつ-る
1835,抱 ,手 ,8,S ,embrace ,ホウ、だ-く、いだ-く、かか-える
1838,泡 ,水 ,8,S ,bubbles ,ホウ、あわ
1839,胞 ,肉 ,9,S ,placenta ,ホウ
1840,俸 ,人 ,10,S ,salary ,ホウ
1841,倣 ,人 ,10,S ,emulate ,ホウ、なら-う
1842,峰 ,山 ,10,S ,summit ,ホウ、みね
1843,砲 ,石 ,10,S ,cannon ,ホウ
1844,崩 ,山 ,11,S ,crumble ,ホウ、くず-れる、くず-す
1847,蜂 ,虫 ,13,S ,bee ,ホウ、はち
1849,飽 ,食 ,13,S ,sated ,ホウ、あ-きる、あ-かす
1850,褒 ,衣 ,15,S ,praise ,ホウ、ほ-める
1851,縫 ,糸 ,16,S ,sew ,ホウ、ぬ-う
1853,乏 ,丿 ,4,S ,scarce ,ボウ、とぼ-しい
1854,忙 ,心 ,6,S ,busy ,ボウ、いそが-しい
1855,坊 ,土 ,7,S ,boy ,ボウ、（ボッ）
1856,妨 ,女 ,7,S ,disturb ,ボウ、さまた-げる
1859,房 ,戶 ,8,S ,tassel ,ボウ、ふさ
